snum,source,stitle,tnum,target,ttitle,check,stier,ttier,logic,slearning,tlearning
1,ENG1002,"Engineering design: cleaner, safer, smarter",8,ECE2131,Electrical circuits,0,1,2,(ENG1091 OR ENG1005) AND ENG1002,"apply (i) ohm's and kirchhoff's laws, (ii) equivalent resistance and (iii) nodal analysis to find voltages and currents for elements in simple electrical circuits,analyse basic circuits containing (i) transistors (via the simple model), (ii) resistors and capacitors and to (iii) formulate thevenin/norton equivalent circuits,describe the functions of standard electrical laboratory equipment and how to use them to measure electrical quantities in circuits,apply the following concepts (i) conservation of mass and (ii) mass and mole fraction, in the mass balance analysis of engineering systems,identify how chemical reactions affect the mass balance analysis of engineering systems,apply energy balance analysis to determine the enthalpy and temperature of a system for engineering systems with and without chemical reactions,determine the expansion of materials as the temperature of the material is increased,apply the concept of resistivity in calculating the resistance of an electrical component,identify how the band gap of a material influences its optical and electronic properties and explain how the chemistry of a semiconductor affects its electronic properties,function as part of a team and communicate effectively with team members,generate and present written reports in a professional engineering format from a template","separate and classify dc and ac electrical circuits, to generalise and solve problems in design by applying circuit analysis techniques and create appropriate circuit layouts,write and compute circuit simulations, reflecting upon simulation outputs to conclude upon appropriate designs,identify appropriate techniques to provide solutions for the transient response of first and second order electrical circuits, and make conclusions on circuit design based upon these results,generalise the behaviour of key semiconductor electronic components (diodes, transistors, operational amplifiers) in circuits and to summarise their uses,compute and generalise the behaviour of rlc circuits",,,,,,,,,,,,,
2,ENG1091,Mathematics for engineering,8,ECE2131,Electrical circuits,1,1,2,(ENG1091 OR ENG1005) AND ENG1002,,"separate and classify dc and ac electrical circuits, to generalise and solve problems in design by applying circuit analysis techniques and create appropriate circuit layouts,write and compute circuit simulations, reflecting upon simulation outputs to conclude upon appropriate designs,identify appropriate techniques to provide solutions for the transient response of first and second order electrical circuits, and make conclusions on circuit design based upon these results,generalise the behaviour of key semiconductor electronic components (diodes, transistors, operational amplifiers) in circuits and to summarise their uses,compute and generalise the behaviour of rlc circuits",,,,,,,,,,,,,
3,ENG1005,Engineering mathematics,8,ECE2131,Electrical circuits,1,1,2,(ENG1091 OR ENG1005) AND ENG1002,"evaluate cross products of vectors, and use vectors to represent lines and planes,perform matrix algebra,solve up to 3x3 systems of linear equations and find eigenvalues and eigenvectors,use hyperbolic functions,evaluate improper integrals of elementary functions and use integration by parts,appreciate convergence of numeric and power series, construct taylor series and estimate errors in numerical approximations,solve first order ordinary differential equations, including by separable variables and integrating factors,solve second order linear differential equations with constant coefficients,use differential equations to model simple engineering problems,evaluate and invert laplace transforms and use them to solve ordinary differential equations,calculate partial derivatives, use the gradient vector to find directional derivatives, and find extreme values of two-variable functions,express and explain mathematical techniques and arguments clearly in words","separate and classify dc and ac electrical circuits, to generalise and solve problems in design by applying circuit analysis techniques and create appropriate circuit layouts,write and compute circuit simulations, reflecting upon simulation outputs to conclude upon appropriate designs,identify appropriate techniques to provide solutions for the transient response of first and second order electrical circuits, and make conclusions on circuit design based upon these results,generalise the behaviour of key semiconductor electronic components (diodes, transistors, operational amplifiers) in circuits and to summarise their uses,compute and generalise the behaviour of rlc circuits",,,,,,,,,,,,,
2,ENG1091,Mathematics for engineering,5,ENG1060,Computing for engineers,2,1,1,,,"identify appropriate matlab programming structures to solve simple computational tasks,identify and describe which numerical methods can be used to solve common engineering problems,construct short computer programs that implement these numerical methods,apply these numerical methods and programs to basic engineering problems",,,,,,,,,,,,,
3,ENG1005,Engineering mathematics,5,ENG1060,Computing for engineers,2,1,1,"Evaluate cross products of vectors, and use vectors to represent lines and planes, Perform matrix algebra, Solve up to 3x3 systems of linear equations and find eigenvalues and eigenvectors, Use hyperbolic functions, Evaluate improper integrals of elementary functions and use integration by parts, Appreciate convergence of numeric and power series, construct Taylor series and estimate errors in numerical approximations, Solve first order ordinary differential equations, including by separable variables and integrating factors, Solve second order linear differential equations with constant coefficients, Use differential equations to model simple engineering problems, Evaluate and invert Laplace transforms and use them to solve ordinary differential equations, Calculate partial derivatives, use the gradient vector to find directional derivatives, and find extreme values of two-variable functions, Express and explain mathematical techniques and arguments clearly in words","evaluate cross products of vectors, and use vectors to represent lines and planes,perform matrix algebra,solve up to 3x3 systems of linear equations and find eigenvalues and eigenvectors,use hyperbolic functions,evaluate improper integrals of elementary functions and use integration by parts,appreciate convergence of numeric and power series, construct taylor series and estimate errors in numerical approximations,solve first order ordinary differential equations, including by separable variables and integrating factors,solve second order linear differential equations with constant coefficients,use differential equations to model simple engineering problems,evaluate and invert laplace transforms and use them to solve ordinary differential equations,calculate partial derivatives, use the gradient vector to find directional derivatives, and find extreme values of two-variable functions,express and explain mathematical techniques and arguments clearly in words","identify appropriate matlab programming structures to solve simple computational tasks,identify and describe which numerical methods can be used to solve common engineering problems,construct short computer programs that implement these numerical methods,apply these numerical methods and programs to basic engineering problems",,,,,,,,,,,,,
4,ENG1090,Foundation mathematics,3,ENG1005,Engineering mathematics,1,1,1,VCE Specialist Mathematics OR ENG 1090,"demonstrate understanding of the properties of common functions and their graphs, use composition of functions, and inverse functions; use trigonometric functions to model periodic behaviour,represent complex numbers in cartesian, polar and exponential forms, and on the complex plane,perform arithmetic and algebra on complex numbers, including finding powers and complex roots of polynomials,demonstrate understanding of the concepts of limit, continuity, differentiable and integrable functions,evaluate limits of piecewise functions, and of rational functions at infinity,use differentiation rules to find derivatives of implicit and explicit functions,apply differentiation techniques to related rates of change problems and optimisation problems,use simple integration techniques to find definite and indefinite integrals, including by substitution and partial fractions,apply integration techniques to calculate areas, average values, volumes, and centres of mass or moment,perform operations with two and three-dimensional vectors, interpret them geometrically, calculate dot products, find vector resolutes, and apply them to motion of a particle,solve kinematics problems, and set up and solve problems involving newton's laws of motion,express and explain mathematical techniques and arguments clearly in words","evaluate cross products of vectors, and use vectors to represent lines and planes,perform matrix algebra,solve up to 3x3 systems of linear equations and find eigenvalues and eigenvectors,use hyperbolic functions,evaluate improper integrals of elementary functions and use integration by parts,appreciate convergence of numeric and power series, construct taylor series and estimate errors in numerical approximations,solve first order ordinary differential equations, including by separable variables and integrating factors,solve second order linear differential equations with constant coefficients,use differential equations to model simple engineering problems,evaluate and invert laplace transforms and use them to solve ordinary differential equations,calculate partial derivatives, use the gradient vector to find directional derivatives, and find extreme values of two-variable functions,express and explain mathematical techniques and arguments clearly in words",,,,,,,,,,,,,
1,VCE,VCE Specialist Mathematics,3,ENG1005,Engineering mathematics,1,0.2,1,VCE Specialist Mathematics OR ENG 1090,,"evaluate cross products of vectors, and use vectors to represent lines and planes,perform matrix algebra,solve up to 3x3 systems of linear equations and find eigenvalues and eigenvectors,use hyperbolic functions,evaluate improper integrals of elementary functions and use integration by parts,appreciate convergence of numeric and power series, construct taylor series and estimate errors in numerical approximations,solve first order ordinary differential equations, including by separable variables and integrating factors,solve second order linear differential equations with constant coefficients,use differential equations to model simple engineering problems,evaluate and invert laplace transforms and use them to solve ordinary differential equations,calculate partial derivatives, use the gradient vector to find directional derivatives, and find extreme values of two-variable functions,express and explain mathematical techniques and arguments clearly in words",,,,,,,,,,,,,
2,ENG1091,Mathematics for engineering,9,ECE2111,Signals and systems,1,1,2,(ENG1091 OR ENG1005) AND ENG1060,,"analyse and manipulate continuous-time and discrete-time signals using appropriate techniques,evaluate and analyse signals in frequency and time domains,analyse engineering systems by applying linear time invariant system concepts,apply the fourier transform, laplace transform, and the discrete fourier transforms to signals and system problems,recognise sampling errors and aliasing phenomena",,,,,,,,,,,,,
3,ENG1005,Engineering mathematics,9,ECE2111,Signals and systems,1,1,2,(ENG1091 OR ENG1005) AND ENG1060,"evaluate cross products of vectors, and use vectors to represent lines and planes,perform matrix algebra,solve up to 3x3 systems of linear equations and find eigenvalues and eigenvectors,use hyperbolic functions,evaluate improper integrals of elementary functions and use integration by parts,appreciate convergence of numeric and power series, construct taylor series and estimate errors in numerical approximations,solve first order ordinary differential equations, including by separable variables and integrating factors,solve second order linear differential equations with constant coefficients,use differential equations to model simple engineering problems,evaluate and invert laplace transforms and use them to solve ordinary differential equations,calculate partial derivatives, use the gradient vector to find directional derivatives, and find extreme values of two-variable functions,express and explain mathematical techniques and arguments clearly in words","analyse and manipulate continuous-time and discrete-time signals using appropriate techniques,evaluate and analyse signals in frequency and time domains,analyse engineering systems by applying linear time invariant system concepts,apply the fourier transform, laplace transform, and the discrete fourier transforms to signals and system problems,recognise sampling errors and aliasing phenomena",,,,,,,,,,,,,
5,ENG1060,Computing for engineers,9,ECE2111,Signals and systems,0,1,2,(ENG1091 OR ENG1005) AND ENG1060,"identify appropriate matlab programming structures to solve simple computational tasks,identify and describe which numerical methods can be used to solve common engineering problems,construct short computer programs that implement these numerical methods,apply these numerical methods and programs to basic engineering problems","analyse and manipulate continuous-time and discrete-time signals using appropriate techniques,evaluate and analyse signals in frequency and time domains,analyse engineering systems by applying linear time invariant system concepts,apply the fourier transform, laplace transform, and the discrete fourier transforms to signals and system problems,recognise sampling errors and aliasing phenomena",,,,,,,,,,,,,
